Method,WC_Spearman,WC_N,S_Spearman,S_N,WC_S_Spearman,WC_S_N
MAPP,0.9657461871719913,88,0.9812088337853545,88,0.974393293649396,88
MAPIast,0.9391180303617345,88,0.9599520974956854,88,0.9550385685604594,88
MAPPureIast,0.9374097425240395,88,0.9508999330773839,88,0.9467084639498433,88
GCMCIast,0.9388538621394105,88,0.9517100489591773,88,0.9485928639357544,88
